cpg,chr,pos,t,P.Value,adj_pval,UCSC_RefGene_Name,Relation_to_Island
cg13834112,chr15,90361639,6.66702151248478,1.5857350335058754e-10,7.491662449645493e-5,,S_Shelf
cg10185478,chr16,15767006,6.664024396732037,1.6135660809090674e-10,7.623131592646798e-5,NDE1;NDE1,OpenSea
cg01877352,chr11,60775233,6.659008802051495,1.6612182536701808e-10,7.848242905456866e-5,CD6,Island
cg08475953,chr5,178004091,6.647570725426342,1.7751228440898678e-10,8.38635486216129e-5,COL23A1,Island
cg17931641,chr7,25897232,6.645367979684757,1.7979237273274355e-10,8.494056919673916e-5,,N_Shore
cg01880463,chr20,45179413,6.643575883299721,1.8166860431400422e-10,8.58267887476909e-5,C20orf123,OpenSea
cg17178761,chr17,55682851,6.6418718197406,1.8347050994879926e-10,8.667789036766098e-5,MSI2;MSI2,OpenSea
cg19984355,chr5,1794232,-6.640880592562946,1.845267174744161e-10,8.71766952433083e-5,,OpenSea
cg07404961,chr16,31049270,-6.638211043052157,1.874010756307634e-10,8.853445236346845e-5,STX4,S_Shelf
cg03321508,chr20,25039707,6.637162109006897,1.8854248473983855e-10,8.90735031506114e-5,ACSS1,S_Shore
cg13033858,chr12,109248326,-6.635920521081331,1.8990236316241592e-10,8.971576333118331e-5,SSH1;SSH1,N_Shelf
cg12113316,chr8,37729089,6.633726740339468,1.9232875164383115e-10,9.086187213909515e-5,RAB11FIP1;RAB11FIP1;RAB11FIP1,OpenSea
cg03598297,chr3,5024761,-6.6335320667826725,1.9254553233157786e-10,9.096409329387499e-5,BHLHE40,Island
cg23130131,chr4,111544299,6.628310725784979,1.9845022882891322e-10,9.375344470518581e-5,PITX2;PITX2;PITX2,Island
cg22035738,chr22,21383321,-6.627573545551457,1.992980956947527e-10,9.415380145478493e-5,SLC7A4,N_Shelf
cg15811515,chr16,31580989,6.626411963387176,2.0064131606789157e-10,9.478817438468974e-5,CSDAP1,Island
cg02583484,chr12,54677008,-6.626345697405646,2.0071821177950452e-10,9.482430119993243e-5,HNRNPA1;HNRPA1L-2;HNRNPA1,S_Shelf
cg24774357,chr14,77504364,6.623226967378334,2.0437015508533542e-10,9.65493661460345e-5,,OpenSea
cg15172739,chr11,62621258,-6.622812553964292,2.0486030900050403e-10,9.678072175894512e-5,SNORD30;SNORD22;SNORD31;SNHG1,N_Shelf
cg23636802,chr6,32054441,-6.622055553438708,2.0575864698392126e-10,9.720491152543806e-5,TNXB,N_Shore
cg24931632,chr1,47899667,6.619430134690535,2.089043429201786e-10,9.86907985866937e-5,MGC12982,Island
cg11703632,chr20,36226699,6.618353133938395,2.1020839693141772e-10,9.930665087834036e-5,,Island
cg04670857,chr2,79740208,6.615709372674932,2.1344352546753755e-10,1.0083477685784863e-4,CTNNA2;CTNNA2;CTNNA2;CTNNA2,Island
cg16598244,chr1,225671862,-6.606454302039582,2.2515886651643324e-10,1.0636910140196035e-4,,OpenSea
cg07637213,chr10,50820604,6.602993585395513,2.2969991734621147e-10,1.0851414585294518e-4,CHAT;SLC18A3;CHAT;CHAT;CHAT;CHAT;CHAT;CHAT;SLC18A3,N_Shore
cg26422458,chr1,79472452,6.601882317292604,2.3117708575564902e-10,1.092117541443407e-4,ELTD1;ELTD1,Island
cg00858840,chr2,171573839,6.601077339765704,2.3225293790323926e-10,1.0971977165955877e-4,SP5,Island
cg05673882,chr5,74862702,-6.600898747022497,2.3249229290941526e-10,1.098326140625085e-4,POLK,OpenSea
cg26539631,chr6,32097439,-6.596053532916087,2.39079260458938e-10,1.1294415067118826e-4,ATF6B;ATF6B;FKBPL,N_Shore
cg13862927,chr9,72158091,-6.594317075342437,2.414842853751362e-10,1.1408007422263885e-4,APBA1,OpenSea
cg16151960,chr5,133890280,-6.593112644720332,2.4316638704806045e-10,1.1487447607176129e-4,PHF15,OpenSea
cg26669717,chr7,641028,-6.592303846635274,2.4430240483477795e-10,1.1541089906799745e-4,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,N_Shelf
cg09826973,chr1,110656508,-6.589622325472864,2.481062273327555e-10,1.1720761474803968e-4,UBL4B;UBL4B,OpenSea
cg16244648,chr5,141555043,-6.584182360933657,2.5600259869389494e-10,1.2093767564378552e-4,,OpenSea
cg19927816,chr19,46319153,6.582905437021615,2.5789159495343593e-10,1.2182979469716782e-4,SYMPK;RSPH6A,Island
cg06939447,chr1,3589971,-6.580458564828571,2.6154966947881404e-10,1.2355763315980862e-4,TP73,OpenSea
cg24713204,chr19,57019373,6.579813906623375,2.625218865137775e-10,1.2401665179854107e-4,ZNF471,Island
cg12832726,chr11,68096165,6.579799937794836,2.6254299232292115e-10,1.2402635974531726e-4,LRP5,OpenSea
cg05931265,chr11,122527736,6.579396449568524,2.63153351449134e-10,1.2431443268462523e-4,UBASH3B,S_Shore
cg21164131,chr12,63544923,6.577556669636085,2.6595411137455307e-10,1.256372541215616e-4,AVPR1A;AVPR1A,Island
cg21390852,chr10,126301842,-6.567754819060376,2.813766286527918e-10,1.329226007522075e-4,LHPP;LHPP,N_Shore
cg13723825,chr9,8857502,6.564260912167636,2.870837137518218e-10,1.3561834637636062e-4,PTPRD;PTPRD,Island
cg15473329,chr19,39862918,-6.560231352859379,2.938070209693239e-10,1.3879414289888763e-4,SAMD4B,OpenSea
cg26115633,chr10,129535893,6.5590944944626095,2.957316749747056e-10,1.3970305179470096e-4,FOXI2,Island
cg02503850,chr10,72432552,6.558781563122245,2.9626362457335904e-10,1.399540474575811e-4,ADAMTS14;ADAMTS14,Island
cg24522654,chr12,19535154,-6.557302438864925,2.9879072271492646e-10,1.411475422476404e-4,,OpenSea
cg14252519,chr9,137533851,6.557257718498107,2.9886745669992844e-10,1.411834922077627e-4,COL5A1;COL5A1,Island
cg10517290,chr17,76377967,-6.556609492369437,2.9998189936978703e-10,1.417096493708912e-4,PGS1,S_Shelf
cg16792312,chr16,2801668,-6.551568267529593,3.087892915639217e-10,1.4586989980975567e-4,LOC100128788;SRRM2,N_Shore
cg17962384,chr10,103601188,6.550207575295658,3.1120972752754706e-10,1.47012985606193e-4,KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2,N_Shore
cg04299274,chr17,25798741,-6.546423029860782,3.1804018891934135e-10,1.5023932288379659e-4,KSR1,OpenSea
cg13615592,chr15,101420708,6.5423655398312395,3.255268284857397e-10,1.5377561850837858e-4,ALDH1A3,Island
cg15504662,chr22,31644160,6.533135042839866,3.4320905412448663e-10,1.6212818186881213e-4,LIMK2;LIMK2;LIMK2,OpenSea
cg25121513,chr7,25898206,6.532296977014675,3.448604182731668e-10,1.6290792326722472e-4,,N_Shore
cg13641317,chr3,127255552,6.530824994087373,3.4777979037333516e-10,1.6428665183508868e-4,,OpenSea
cg12986453,chr22,49137906,-6.530670365862448,3.4808786826026976e-10,1.644318357359958e-4,FAM19A5;FAM19A5,N_Shore
cg09109520,chr16,57673258,6.529438432461306,3.505519370935792e-10,1.6559547680395042e-4,GPR56;GPR56;GPR56;GPR56;GPR56;GPR56;GPR56;GPR56;GPR56,OpenSea
cg11801110,chr22,50356763,-6.526358916397756,3.5678664429397163e-10,1.685403021781635e-4,PIM3,Island
cg18397405,chr13,94965245,-6.525474662170892,3.585969162345714e-10,1.6939508708163555e-4,GPC6,OpenSea
cg21322436,chr7,145812842,-6.524995263191705,3.5958212355425075e-10,1.6986012268880408e-4,CNTNAP2,N_Shore
cg10080966,chr10,112260867,-6.513918990711194,3.830995532874287e-10,1.8096895008146887e-4,DUSP5,S_Shelf
cg05628049,chr3,42113624,6.512229452401822,3.868171329042286e-10,1.827246772412995e-4,,OpenSea
cg23766918,chr17,9559589,-6.505898785552017,4.0106449576044893e-10,1.894544454428251e-4,USP43,OpenSea
cg07135614,chr3,138663230,6.499420995214836,4.161760840891874e-10,1.9659242624988217e-4,FOXL2;FOXL2,N_Shore
cg11168293,chr22,49067022,-6.499315572171782,4.1642658404206965e-10,1.9671034049004074e-4,FAM19A5;FAM19A5,S_Shelf
cg19254152,chr7,1083473,6.499036840757177,4.1708960233525074e-10,1.970231179927164e-4,C7orf50;C7orf50;C7orf50,N_Shore
cg10138494,chr2,14772562,6.491613535946338,4.351337995698194e-10,2.0554632857179344e-4,FAM84A,Island
cg26149682,chr6,10417663,6.491606069095393,4.3515232990817425e-10,2.055546466880439e-4,TFAP2A,Island
cg00345443,chr3,54121778,6.4907590920579326,4.3725929198775155e-10,2.0654948353413015e-4,,Island
cg18593374,chr10,126302546,-6.490662676844678,4.374997709876965e-10,2.0666264182100016e-4,LHPP;LHPP,N_Shore
cg12160258,chr10,63213396,6.482404562415106,4.5858627201039004e-10,2.1662285589581996e-4,TMEM26,S_Shore
cg17535314,chr10,48435475,-6.482120741807658,4.5932844782171925e-10,2.1697297889754552e-4,GDF10,N_Shelf
cg26601073,chr17,1614268,6.481846838416667,4.60045808637623e-10,2.1731137858034536e-4,TLCD2,S_Shore
cg06575065,chr16,68676743,6.480829983137974,4.6271861508147425e-10,2.1857346676880583e-4,CDH3,Island
cg27239828,chr3,185136561,-6.48013482440394,4.6455460823669405e-10,2.1944026662894245e-4,MAP3K13,OpenSea
cg19746343,chr1,235290405,-6.476288240946626,4.748438782476246e-10,2.2430010339231744e-4,TOMM20,N_Shore
cg12594635,chr12,54129457,-6.474108487492658,4.807734863662573e-10,2.2710056788739715e-4,,N_Shelf
cg24256211,chr14,55035215,6.4724684150672145,4.852828550932178e-10,2.2923015056325273e-4,SAMD4A;SAMD4A,S_Shore
cg09708959,chr6,33161107,6.469580592641713,4.933240303059654e-10,2.3302801892741674e-4,COL11A2;COL11A2;COL11A2;COL11A2,Island
cg02532700,chr22,37257404,-6.468693174505556,4.958212237402303e-10,2.3420710488838268e-4,NCF4;NCF4,OpenSea
cg08606254,chr5,323969,6.4682023885541176,4.97207619115806e-10,2.3486148817316124e-4,AHRR,S_Shore
cg08402433,chr7,3020155,6.467430040858655,4.993970929733449e-10,2.358952108368892e-4,CARD11,OpenSea
cg15237742,chr17,44897024,6.46457508093486,5.075728719558429e-10,2.3975661422419e-4,WNT3,Island
cg19325791,chr17,46560683,6.463757806189524,5.099374011372963e-10,2.4087301092641102e-4,,OpenSea
cg03884270,chr8,67834983,-6.462539727237234,5.13481610939804e-10,2.4254663329869303e-4,SNORD87;SNHG6,N_Shelf
cg04472685,chr6,31545473,-6.461268420178958,5.172064831169491e-10,2.4430558553918956e-4,TNF,N_Shelf
cg03880355,chr5,74162880,6.459278357057095,5.2309059397637e-10,2.4708445751770824e-4,FAM169A,S_Shore
cg01168235,chr3,120003884,6.458782731217061,5.245662233716206e-10,2.477809538744785e-4,,Island
cg17156565,chr5,174151492,6.458669812947667,5.249029865734853e-10,2.479395004169455e-4,MSX2,Island
cg09807856,chr13,30523044,-6.457943749521867,5.27073445435966e-10,2.489641960985694e-4,,OpenSea
cg06482498,chr6,31802029,-6.456896982605476,5.302181123866755e-10,2.504490556039586e-4,C6orf48;SNORD48;C6orf48,N_Shore
cg07573872,chr19,1126342,-6.456328065560164,5.319349531428427e-10,2.512594751170218e-4,SBNO2;SBNO2,S_Shelf
cg23996071,chr1,60280809,6.4523875363894785,5.439771203625092e-10,2.5694704882611084e-4,HOOK1,Island
cg13630739,chr7,138413421,-6.449475864615668,5.530466253569852e-10,2.612304673941213e-4,ATP6V0A4;ATP6V0A4;ATP6V0A4,OpenSea
cg06809544,chr7,79081666,6.449072061593883,5.54316084035865e-10,2.618295393460887e-4,MAGI2,Island
cg04994405,chr1,65731836,6.448786871747329,5.552143744204125e-10,2.622532888999842e-4,DNAJC6,Island
cg00166915,chr14,101361359,-6.4481648563219425,5.571785565276381e-10,2.6318050528304724e-4,MEG8,OpenSea
cg12616487,chr11,62379063,-6.447437753807074,5.594832261431413e-10,2.6426854496935595e-4,ROM1;EML3,N_Shore
cg26295808,chr8,61822816,6.444798819084154,5.679266267224457e-10,2.682561666459602e-4,,Island
cg23162201,chr11,8280741,6.443714791996338,5.714311486273763e-10,2.699109316049522e-4,LMO1,N_Shelf
cg08123816,chr15,85640762,-6.423709436000476,6.400501899306846e-10,3.023219467620495e-4,PDE8A;PDE8A,OpenSea
cg04991036,chr14,29243762,6.420541966460986,6.516318547483184e-10,3.077917902718207e-4,C14orf23;C14orf23,Island
cg06556702,chr12,58004448,6.41789693480232,6.61460618394528e-10,3.12433647031853e-4,GEFT;GEFT,N_Shore
cg26361535,chr8,144576604,-6.417621724119497,6.6249160043288e-10,3.129199575652657e-4,ZC3H3,OpenSea
cg13531460,chr2,231790813,-6.41549220315245,6.705226008274426e-10,3.1671263370703175e-4,GPR55,OpenSea
cg10806009,chr2,66654057,6.414625146973497,6.738198019274037e-10,3.1826934996318217e-4,,Island
cg23929194,chr7,44662296,-6.4140924637083545,6.758533490936652e-10,3.1922919164415636e-4,OGDH;OGDH;OGDH,OpenSea
cg17028595,chr10,80725361,-6.4127372090630645,6.810542965883718e-10,3.21685100124772e-4,LOC283050;LOC283050;LOC283050,OpenSea
cg15906260,chr3,186505240,-6.411773993152366,6.847746039606958e-10,3.2344164301256734e-4,SNORA4;EIF4A2,S_Shelf
cg14531564,chr1,1154853,-6.41164400529782,6.852781912988874e-10,3.236788186525861e-4,SDF4;SDF4,S_Shore
cg21838979,chr2,106681945,6.411236223830778,6.868603410695066e-10,3.2442543175770114e-4,C2orf40,N_Shore
cg23304647,chr7,2778058,6.4097932474947665,6.924877741269313e-10,3.270827503533735e-4,GNA12,S_Shelf
cg13670091,chr6,143723025,-6.409379706754621,6.941088564329381e-10,3.2784774205011323e-4,,OpenSea
cg03804213,chr13,37248078,6.4065163886319985,7.054356774912116e-10,3.3319702267806903e-4,C13orf36;C13orf36,Island
cg20707323,chr1,178006917,6.403372886771121,7.180797498387641e-10,3.3916845400209394e-4,,Island
cg09397246,chr15,91427361,6.397797575042293,7.410544298363884e-10,3.50019274626902e-4,FES;FES;FES;FES,N_Shore
cg08666707,chr6,41456441,-6.397413077287557,7.426651815212212e-10,3.507793318620108e-4,,OpenSea
cg21381845,chr7,642127,-6.397263411600221,7.432930946907967e-10,3.510751676567359e-4,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,N_Shelf
cg11037979,chr22,50101968,-6.394031568761442,7.569798639869055e-10,3.575390002978872e-4,,S_Shelf
cg00501876,chr3,39193251,-6.392946319222622,7.616310882957972e-10,3.597351188860475e-4,CSRNP1,N_Shore
cg01180628,chr3,5023394,-6.385684071808506,7.934857003145614e-10,3.7477995945827395e-4,BHLHE40,N_Shore
cg18047961,chr6,33878466,-6.385189613529337,7.957014643071306e-10,3.7582571562154394e-4,,OpenSea
cg07198552,chr20,59828977,6.383424810466931,8.036594982688209e-10,3.795836505628312e-4,CDH4,Island
cg08462941,chr19,5288631,-6.382393545743058,8.083458742365636e-10,3.8179630662766526e-4,PTPRS;PTPRS;PTPRS;PTPRS,N_Shore
cg12448724,chr6,80340883,6.3798215214851846,8.201510481613775e-10,3.8737128261443735e-4,SH3BGRL2,Island
cg02734358,chr4,90227074,-6.379737180621021,8.205410093429348e-10,3.875546473688176e-4,GPRIN3,N_Shore
cg03161190,chr10,104535792,6.379434971079314,8.2193980943512e-10,3.882145010933487e-4,C10orf26;C10orf26,OpenSea
cg05124129,chr12,39299501,6.378520386475973,8.261873019299244e-10,3.902198293237303e-4,CPNE8,Island
cg24688690,chr5,345850,-6.375692068688476,8.394592236469969e-10,3.9648750429838403e-4,AHRR,S_Shore
cg26912602,chr1,206644843,-6.3749089669211845,8.431707629537167e-10,3.982396693921958e-4,IKBKE,OpenSea
cg20463526,chr1,91191001,6.370594700569692,8.639088478996959e-10,4.0803365186035327e-4,,Island
cg20666386,chr11,46367100,6.365814720729338,8.874700471016154e-10,4.1916097794656397e-4,DGKZ;DGKZ,Island
cg26844246,chr5,170736277,6.3651837453733835,8.906269311814471e-10,4.206511152393781e-4,TLX3,Island
cg05304785,chr1,30179865,6.365086579233499,8.911140487271743e-10,4.208802941262342e-4,,OpenSea
cg07663765,chr16,84539641,-6.364396400467344,8.945816119500849e-10,4.225171573953087e-4,KIAA1609,S_Shore
cg21316923,chr2,121983716,-6.364187141534451,8.956355730692086e-10,4.2301405497402564e-4,TFCP2L1,Island
cg14332524,chr14,65770225,-6.363688631756464,8.981512949892021e-10,4.242013473798751e-4,,OpenSea
cg05462446,chr16,77574072,-6.363622524346593,8.984854251116015e-10,4.2435826022190983e-4,,OpenSea
cg25156960,chr7,92645767,6.362670437277867,9.033111531726101e-10,4.2663656757688326e-4,,OpenSea
cg01460227,chr7,93204086,6.360082590691886,9.165566889065365e-10,4.32891557283935e-4,CALCR;CALCR,Island
cg14473924,chr3,73674170,6.359313699665838,9.205287314666708e-10,4.347666404004401e-4,PDZRN3,Island
cg24898914,chr6,32810706,-6.358428613098848,9.251219398179257e-10,4.369350921760063e-4,PSMB8;PSMB8,N_Shore
cg12498088,chr6,43253387,6.35694581132997,9.328674542326254e-10,4.4059236576661476e-4,TTBK1,Island
cg01402347,chr4,96472269,-6.355088462682935,9.426592221570223e-10,4.4521606530631733e-4,,S_Shore
cg24430140,chr19,57276642,6.351689913792023,9.608377183098117e-10,4.5380077184456913e-4,,Island
cg06523516,chr2,794646,-6.351361064325495,9.626148381939218e-10,4.5463913761963645e-4,,OpenSea
cg04044720,chr3,22413680,6.350478488477883,9.674002766012766e-10,4.568983136373999e-4,,Island
cg16786458,chr5,149108820,6.349003374040713,9.75450675181327e-10,4.606995011840897e-4,PPARGC1B,N_Shore
cg25290779,chr15,63886947,-6.3484595977390486,9.784348650214845e-10,4.62107937705592e-4,,OpenSea
cg03991871,chr5,368447,-6.346938380290805,9.868307975070694e-10,4.660722910162088e-4,AHRR,N_Shore
cg14338590,chr11,16848924,-6.346174777499155,9.91071885078122e-10,4.6807433167543133e-4,PLEKHA7,OpenSea
cg09186051,chr1,231981906,-6.344419302967295,1.0008897810670662e-9,4.727102347001647e-4,DISC1;DISC1;DISC1;DISC1;DISC1;DISC1;DISC1;TSNAX-DISC1;DISC1;DISC1;DISC1;DISC1,OpenSea
cg07247610,chr1,9097422,-6.343944640395598,1.0035607831602003e-9,4.7397071871794783e-4,SLC2A5;SLC2A5,N_Shore
cg01429256,chr17,17687834,6.343001136802182,1.0088908036045128e-9,4.7648701985276813e-4,RAI1,S_Shore
cg25238382,chr17,72981310,-6.338045064222326,1.0373477563633746e-9,4.899258598095891e-4,,N_Shelf
cg02509825,chr8,56015399,6.334948319233662,1.055526802864802e-9,4.985105316178058e-4,XKR4,Island
cg21189438,chr9,38622559,6.334550187039014,1.0578865356193578e-9,4.996239424749884e-4,C9orf122,Island
cg25569840,chr22,49701234,6.3334629168364085,1.0643571831088693e-9,5.026788678673892e-4,,S_Shelf
cg06151243,chr17,5000872,6.332171665045108,1.072092214340873e-9,5.063309272655505e-4,,Island
cg15731815,chr1,6269260,6.324011840330115,1.1222629055268628e-9,5.300245695480378e-4,RNF207,Island
cg24943198,chr1,15255438,-6.320213182784524,1.146397475009894e-9,5.414217458951478e-4,KIAA1026;KIAA1026;KIAA1026;KIAA1026,S_Shelf
cg16871828,chr1,145474701,6.317355005759698,1.1648915842111508e-9,5.501549973912423e-4,ANKRD34A,Island
cg14473102,chr2,176994448,6.316670828780733,1.1693618322918127e-9,5.52265036792945e-4,HOXD8,Island
cg08129017,chr17,17728660,6.315171291070614,1.1792183697291415e-9,5.569188932189395e-4,SREBF1;SREBF1,S_Shore
cg03853208,chr7,25989763,6.313991010441389,1.1870336678708598e-9,5.606086995610461e-4,MIR148A,N_Shore
cg04609576,chr5,126626362,6.312139664891686,1.1993948858306786e-9,5.664454191005696e-4,MEGF10,Island
cg05656688,chr1,25254088,-6.3115963558974615,1.2030463914527175e-9,5.681687345233321e-4,RUNX3;RUNX3,N_Shore
cg19464252,chr16,30675233,-6.310871462062068,1.2079352826741415e-9,5.704764276896475e-4,FBRS,OpenSea
cg05733181,chr4,117847088,6.310021770622299,1.2136906481820743e-9,5.731933234888927e-4,,Island
cg20477259,chr6,31544960,-6.308782181826365,1.2221352302482412e-9,5.771802494597974e-4,TNF,N_Shelf
cg24869815,chr17,73642486,6.308482631353059,1.224184517046202e-9,5.781468460499269e-4,RECQL5;LOC100130933,OpenSea
cg14512563,chr15,96897190,6.30799836553127,1.227504608325625e-9,5.797136013739429e-4,,Island
cg14155058,chr9,134113929,6.306756536292438,1.2360589014452665e-9,5.837523013266546e-4,,OpenSea
cg07992484,chr2,106724161,-6.30622579285781,1.239732711341801e-9,5.854860881199696e-4,UXS1,OpenSea
cg09890077,chr3,175056652,-6.305697503784844,1.2434001637377671e-9,5.872168651279441e-4,"NAALADL2",OpenSea
cg03467087,chr6,158448134,6.304038272027281,1.2549880784166714e-9,5.926881998415277e-4,SYNJ2,OpenSea
cg21618273,chr5,14414947,-6.303154935848611,1.261200336750059e-9,5.956207770352667e-4,TRIO,OpenSea
cg21368063,chr2,27338538,-6.302608435142075,1.2650588112426867e-9,5.974417344327162e-4,CGREF1;CGREF1;CGREF1,N_Shelf
cg09890699,chr1,54821853,6.302570972732809,1.2653237316386216e-9,5.975655814748504e-4,SSBP3;SSBP3;SSBP3,N_Shore
cg26987928,chr15,62767926,-6.301800805823552,1.2707821389401426e-9,6.001421145001496e-4,,OpenSea
cg04895387,chr6,33180930,6.301594178767809,1.2722504913576434e-9,6.00834289299052e-4,,N_Shore
cg09867953,chr16,23706666,6.301094661134645,1.275807085227892e-9,6.025126540697243e-4,ERN2,OpenSea
cg05190718,chr1,116310712,-6.300940426992198,1.276907209407236e-9,6.030309218074519e-4,CASQ2,OpenSea
cg00151914,chr17,34058550,6.300036564773607,1.2833730163977853e-9,6.060831739779853e-4,RASL10B,Island
cg05903444,chr5,2751041,6.298190108111115,1.296681632352406e-9,6.123669776498502e-4,IRX2;C5orf38;IRX2,Island
cg23297413,chr5,10636139,-6.297685636850143,1.3003411586585952e-9,6.140939142234735e-4,ANKRD33B,OpenSea
cg12758082,chr13,113407769,6.294835233652774,1.3212095399485027e-9,6.239478112883801e-4,ATP11A;ATP11A,N_Shelf
cg04641860,chr10,43891547,-6.294368655536156,1.324656582504168e-9,6.255743697139234e-4,HNRNPF;HNRNPF;HNRNPF;HNRNPF;HNRNPF;HNRNPF,Island
cg20496643,chr17,34058597,6.29375097969799,1.3292334889159513e-9,6.277345028410247e-4,RASL10B,Island
cg18362281,chr7,157204364,-6.29274743303328,1.3367027324026692e-9,6.312605387826253e-4,DNAJB6,Island
cg14373988,chr1,2345333,-6.292138004749381,1.3412586789808824e-9,6.334107524074006e-4,PEX10;PEX10,N_Shore
cg04535902,chr1,92947332,-6.292083468127713,1.3416671236588198e-9,6.336022991478776e-4,GFI1;GFI1;GFI1,Island
cg19942495,chr17,32484027,6.2920076018403055,1.3422355168105663e-9,6.338693805782731e-4,ACCN1,Island
cg10059056,chr11,46355283,6.290921827323839,1.3503960946912727e-9,6.377218549257641e-4,DGKZ,S_Shore
cg06011086,chr8,61823275,6.290877324178265,1.3507316117690617e-9,6.378789514631041e-4,,S_Shore
cg00986824,chr12,75601465,6.288367170057795,1.3697890008937397e-9,6.46877376516065e-4,KCNC2;KCNC2;KCNC2,Island
cg13473196,chr11,46848312,6.288280128818427,1.3704545354055571e-9,6.471903020725974e-4,CKAP5;CKAP5,OpenSea
cg07973435,chr6,100905458,6.287858816957588,1.373680452721346e-9,6.487123517149393e-4,SIM1,Island
cg11701471,chr8,54164051,6.287830618741183,1.3738966275434507e-9,6.488130650810018e-4,OPRK1;OPRK1,Island
cg00936935,chr10,52271899,-6.285618869056875,1.3909567792946543e-9,6.568682113676661e-4,SGMS1,OpenSea
cg26936171,chr16,87448114,-6.285471860723068,1.3920980479856336e-9,6.574057742787836e-4,ZCCHC14,Island
cg06000951,chr6,39902288,6.283084248433831,1.410762825812398e-9,6.662186368616467e-4,MOCS1;MOCS1;MOCS1,Island
cg22111078,chr5,172655925,6.281566427505764,1.422755468575642e-9,6.718806197246926e-4,,Island
cg09287933,chr6,33384473,-6.276734773085063,1.46160074226116e-9,6.902234113239257e-4,CUTA;CUTA;CUTA;CUTA;CUTA,N_Shore
cg01153946,chr20,37062621,-6.273897230371224,1.4848964682779815e-9,7.012230534901891e-4,LOC388796;SNORA71D;LOC388796,N_Shore
cg13867915,chr1,27050039,6.272560968031488,1.4959926311878258e-9,7.064615761816142e-4,ARID1A;ARID1A,OpenSea
cg08271622,chr20,37053969,-6.272375185311748,1.4975417705504016e-9,7.071916380158689e-4,LOC388796;SNORA71B;LOC388796,OpenSea
cg15838320,chr20,49461129,-6.271581322482279,1.5041790887316231e-9,7.103245077880893e-4,BCAS4;BCAS4;BCAS4,S_Shelf
cg10401741,chr20,34994314,-6.27102482841453,1.508849000865357e-9,7.125282902256501e-4,DLGAP4,OpenSea
cg27467929,chr8,68864529,6.266813434292647,1.5446533435614954e-9,7.294347377367321e-4,PREX2;PREX2,N_Shore
cg12451280,chr10,48334337,-6.265759063524802,1.5537469314332932e-9,7.337274671776754e-4,,OpenSea
cg06599169,chr19,17973311,-6.2628809104444985,1.5788379944079932e-9,7.455746660992867e-4,RPL18AP3;SNORA68;RPL18A,S_Shelf
cg13265789,chr4,96470584,6.261968588101948,1.5868739903852837e-9,7.493679176056521e-4,UNC5C,Island
cg20556803,chr7,2114593,6.261466947094204,1.591309656370041e-9,7.514609764083118e-4,MAD1L1;MAD1L1;MAD1L1,N_Shore
cg11436113,chr20,19191145,-6.2600514463292045,1.603891587137244e-9,7.574009125190593e-4,,N_Shore
cg10472064,chr3,50452888,-6.259823804248943,1.605924105409924e-9,7.583591166013067e-4,CACNA2D2;CACNA2D2,OpenSea
cg01568319,chr6,168841907,6.259291724842768,1.6106846655909925e-9,7.606055662087065e-4,SMOC2;SMOC2;SMOC2;SMOC2,Island
cg18174402,chr2,27441263,-6.25844603286154,1.6182796230503328e-9,7.641904767153204e-4,CAD,S_Shore
cg19210770,chr2,220379091,6.256824114012225,1.6329440335478795e-9,7.711137303540803e-4,ACCN4;ACCN4,S_Shore
cg19377421,chr1,156697041,-6.256324318239007,1.6374890799819387e-9,7.73258368327231e-4,ISG20L2;C1orf66;C1orf66,N_Shore
cg00407413,chr1,2332075,-6.256128579775059,1.6392724647699189e-9,7.740988825861158e-4,RER1,N_Shore
cg17603206,chr10,20104935,6.255864573268315,1.6416808595300828e-9,7.752345354872956e-4,PLXDC2,Island
cg08149865,chr8,21914600,-6.255550507876722,1.6445504327658876e-9,7.765879608102747e-4,EPB49;EPB49;EPB49;EPB49,S_Shore
cg10778310,chr7,128509080,6.252955319054229,1.6684512392891852e-9,7.878727073146604e-4,,N_Shore
cg14316231,chr8,41895100,-6.2523474298725015,1.6740987176043585e-9,7.905378741309774e-4,MYST3;MYST3;MYST3,OpenSea
cg15225364,chr7,1859172,6.251839151374422,1.6788351607494497e-9,7.927728242684622e-4,MAD1L1;MAD1L1;MAD1L1,OpenSea
cg15722438,chr19,8552601,6.251280015260793,1.6840606973655072e-9,7.952387222064529e-4,HNRNPM;HNRNPM,S_Shore
cg18500733,chr22,33454564,6.250008769390786,1.6960008180480734e-9,8.00875330293753e-4,SYN3,S_Shore
cg00092992,chr1,33596100,-6.24772177685169,1.7176905464129888e-9,8.111158059933167e-4,,S_Shelf
cg07212837,chr8,145068773,6.2447433948667515,1.7463453461469994e-9,8.246452285947669e-4,,S_Shelf
cg06533314,chr1,91176810,6.244402886118501,1.7496510495134993e-9,8.26204471741819e-4,,S_Shore
cg04813697,chr10,22920025,-6.244384482656098,1.7498298873070888e-9,8.262871710852804e-4,PIP4K2A,OpenSea
cg18279094,chr1,63790044,6.243495158733481,1.7584933799503489e-9,8.303764004529742e-4,FOXD3,Island
